instant,dteday,temp,atemp,hum,windspeed,casual,registered,cnt,atemp_mul_atemp,hum_mul_windspeed,temp_div_atemp,temp_mul_temp,weathersit_div_temp,season_1,season_2,season_3,season_4,yr_0,yr_1,mnth_1,mnth_2,mnth_3,mnth_4,mnth_5,mnth_6,mnth_7,mnth_8,mnth_9,mnth_10,mnth_11,mnth_12,holiday_0,holiday_1,weekday_0,weekday_1,weekday_2,weekday_3,weekday_4,weekday_5,weekday_6,workingday_0,workingday_1,weathersit_1,weathersit_2,weathersit_3
1,2011-01-01,0.344167,0.363625,0.805833,0.160446,331,654,985,0.13222314062499999,0.129292681518,0.9464888277758681,0.118450923889,5.811132386312459,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0
2,2011-01-02,0.363478,0.35373899999999997,0.696087,0.24853899999999998,131,670,801,0.12513128012099997,0.17300476689299998,1.0275315981557025,0.13211625648400002,5.502396293585856,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0
3,2011-01-03,0.196364,0.189405,0.43727299999999997,0.248309,120,1229,1349,0.035874254024999996,0.10857882135699999,1.0367413743037408,0.038558820496000006,5.0925831618830335,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0
4,2011-01-04,0.2,0.21212199999999998,0.590435,0.160296,108,1454,1562,0.04499574288399999,0.09464436876,0.9428536408293342,0.04000000000000001,5.0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0
5,2011-01-05,0.22695700000000002,0.22926999999999997,0.436957,0.1869,82,1518,1600,0.05256473289999999,0.0816672633,0.9899114581061632,0.051509479849000006,4.406120983269958,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0
6,2011-01-06,0.204348,0.23320900000000003,0.518261,0.0895652,88,1518,1606,0.054386437681000016,0.0464181501172,0.8762440557611412,0.041758105104,4.893612856499696,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0
7,2011-01-07,0.196522,0.208839,0.49869600000000003,0.168726,148,1362,1510,0.043613727920999996,0.084142981296,0.9410215524878016,0.038620896484,10.176977641180121,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0
8,2011-01-08,0.165,0.162254,0.535833,0.266804,68,891,959,0.026326360516000003,0.14296238773199998,1.0169240819948968,0.027225000000000003,12.121212121212121,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0
9,2011-01-09,0.13833299999999998,0.116175,0.434167,0.36195,54,768,822,0.013496630625,0.15714674565,1.1907295029051,0.019136018888999996,7.2289330817664625,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0
10,2011-01-10,0.150833,0.15088800000000002,0.482917,0.22326700000000002,41,1280,1321,0.022767188544000005,0.107819429839,0.9996354912252795,0.022750593888999998,6.629848905743438,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0
11,2011-01-11,0.16909100000000002,0.19146400000000002,0.6863640000000001,0.12213199999999999,43,1220,1263,0.03665846329600001,0.083827008048,0.8831477457903313,0.028591766281000006,11.827950630134069,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0
12,2011-01-12,0.172727,0.160473,0.599545,0.304627,25,1137,1162,0.025751583729,0.182637594715,1.0763617555601253,0.029834616528999998,5.789482825499198,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0
13,2011-01-13,0.165,0.150883,0.47041700000000003,0.301,38,1368,1406,0.022765679688999996,0.141595517,1.0935625617200084,0.027225000000000003,6.0606060606060606,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0
